IMG_Index;Label;Repetition;Seed;#Iterations_Att;#Iterations_att_adaptive;#Iterations_Normal;#Iterations_Normal_adaptive;Winner Method;;;;;
0;9;1;4398;339;191;NA;NA;Heatmaps adaptive;;1;0;0;0
0;9;2;980;441;206;NA;NA;Heatmaps adaptive;;1;0;0;0
0;9;3;987423;439;298;NA;NA;Heatmaps adaptive;;1;0;0;0
0;9;4;99982;316;275;NA;NA;Heatmaps adaptive;;1;0;0;0
0;9;5;1123;344;192;NA;NA;Heatmaps adaptive;;1;0;0;0
1;8;1;4398;NA;NA;NA;NA;;;0;0;1;0
1;8;2;980;NA;NA;NA;NA;;;0;0;1;0
1;8;3;987423;NA;NA;NA;NA;;;0;0;1;0
1;8;4;99982;NA;NA;NA;NA;;;0;0;1;0
1;8;5;1123;NA;NA;NA;NA;;;0;0;1;0
2;7;1;4398;NA;319;NA;NA;Heatmaps adaptive;;1;0;0;0
2;7;2;980;NA;441;NA;NA;Heatmaps adaptive;;1;0;0;0
2;7;3;987423;NA;NA;NA;NA;;;0;0;1;0
2;7;4;99982;NA;500;NA;NA;Heatmaps adaptive;;1;0;0;0
2;7;5;1123;NA;NA;NA;NA;;;0;0;1;0
3;6;1;4398;NA;NA;NA;NA;;;0;0;1;0
3;6;2;980;NA;NA;NA;NA;;;0;0;1;0
3;6;3;987423;NA;NA;NA;NA;;;0;0;1;0
3;6;4;99982;NA;NA;NA;NA;;;0;0;1;0
3;6;5;1123;NA;NA;NA;NA;;;0;0;1;0
4;5;1;4398;NA;235;NA;NA;Heatmaps adaptive;;1;0;0;0
4;5;2;980;NA;256;NA;NA;Heatmaps adaptive;;1;0;0;0
4;5;3;987423;NA;316;NA;NA;Heatmaps adaptive;;1;0;0;0
4;5;4;99982;NA;218;NA;NA;Heatmaps adaptive;;1;0;0;0
4;5;5;1123;NA;274;NA;NA;Heatmaps adaptive;;1;0;0;0
5;4;1;4398;NA;NA;NA;NA;;;0;0;1;0
5;4;2;980;NA;NA;NA;NA;;;0;0;1;0
5;4;3;987423;NA;NA;NA;NA;;;0;0;1;0
5;4;4;99982;NA;NA;NA;NA;;;0;0;1;0
5;4;5;1123;NA;NA;NA;NA;;;0;0;1;0
6;3;1;4398;325;182;NA;NA;Heatmaps adaptive;;1;0;0;0
6;3;2;980;344;193;NA;NA;Heatmaps adaptive;;1;0;0;0
6;3;3;987423;416;241;NA;NA;Heatmaps adaptive;;1;0;0;0
6;3;4;99982;365;220;NA;NA;Heatmaps adaptive;;1;0;0;0
6;3;5;1123;300;241;NA;NA;Heatmaps adaptive;;1;0;0;0
7;2;1;4398;NA;NA;NA;NA;;;0;0;1;0
7;2;2;980;NA;NA;NA;NA;;;0;0;1;0
7;2;3;987423;NA;NA;NA;NA;;;0;0;1;0
7;2;4;99982;NA;NA;NA;NA;;;0;0;1;0
7;2;5;1123;NA;NA;NA;NA;;;0;0;1;0
8;1;1;4398;NA;197;NA;NA;Heatmaps adaptive;;1;0;0;0
8;1;2;980;NA;176;NA;476;Heatmaps adaptive;;0;0;0;1
8;1;3;987423;NA;217;NA;NA;Heatmaps adaptive;;1;0;0;0
8;1;4;99982;NA;304;NA;394;Heatmaps adaptive;;0;0;0;1
8;1;5;1123;NA;198;NA;313;Heatmaps adaptive;;0;0;0;1
9;0;1;4398;NA;429;NA;NA;Heatmaps adaptive;;1;0;0;0
9;0;2;980;NA;466;NA;NA;Heatmaps adaptive;;1;0;0;0
9;0;3;987423;NA;NA;NA;499;Normal Adaptive;;0;1;0;0
9;0;4;99982;NA;NA;NA;NA;;;0;0;1;0
9;0;5;1123;NA;346;NA;NA;Heatmaps adaptive;;1;0;0;0
10;9;1;4398;NA;NA;NA;NA;;;0;0;1;0
10;9;2;980;NA;NA;NA;NA;;;0;0;1;0
10;9;3;987423;NA;NA;NA;NA;;;0;0;1;0
10;9;4;99982;NA;NA;NA;NA;;;0;0;1;0
10;9;5;1123;NA;NA;NA;NA;;;0;0;1;0
11;8;1;4398;382;334;NA;463;Heatmaps adaptive;;0;0;0;1
11;8;2;980;375;452;NA;461;Heatmaps;;0;0;0;1
11;8;3;987423;467;391;NA;474;Heatmaps adaptive;;0;0;0;1
11;8;4;99982;NA;324;NA;418;Heatmaps adaptive;;0;0;0;1
11;8;5;1123;NA;368;NA;NA;Heatmaps adaptive;;1;0;0;0
12;7;1;4398;NA;NA;NA;NA;;;0;0;1;0
12;7;2;980;NA;NA;NA;NA;;;0;0;1;0
12;7;3;987423;NA;NA;NA;NA;;;0;0;1;0
12;7;4;99982;NA;NA;NA;NA;;;0;0;1;0
12;7;5;1123;NA;NA;NA;NA;;;0;0;1;0
13;6;1;4398;358;215;NA;NA;Heatmaps adaptive;;1;0;0;0
13;6;2;980;349;239;NA;NA;Heatmaps adaptive;;1;0;0;0
13;6;3;987423;423;254;NA;NA;Heatmaps adaptive;;1;0;0;0
13;6;4;99982;433;284;NA;NA;Heatmaps adaptive;;1;0;0;0
13;6;5;1123;412;267;NA;NA;Heatmaps adaptive;;1;0;0;0
14;5;1;4398;NA;NA;NA;NA;;;0;0;1;0
14;5;2;980;NA;NA;NA;NA;;;0;0;1;0
14;5;3;987423;NA;NA;NA;NA;;;0;0;1;0
14;5;4;99982;NA;NA;NA;NA;;;0;0;1;0
14;5;5;1123;NA;NA;NA;NA;;;0;0;1;0
15;4;1;4398;NA;NA;NA;NA;;;0;0;1;0
15;4;2;980;NA;361;NA;NA;Heatmaps adaptive;;1;0;0;0
15;4;3;987423;NA;NA;NA;NA;;;0;0;1;0
15;4;4;99982;NA;335;NA;NA;Heatmaps adaptive;;1;0;0;0
15;4;5;1123;NA;NA;NA;NA;;;0;0;1;0
16;3;1;4398;NA;NA;NA;NA;;;0;0;1;0
16;3;2;980;NA;480;NA;NA;Heatmaps adaptive;;1;0;0;0
16;3;3;987423;NA;NA;NA;NA;;;0;0;1;0
16;3;4;99982;NA;431;NA;NA;Heatmaps adaptive;;1;0;0;0
16;3;5;1123;NA;NA;NA;NA;;;0;0;1;0
17;2;1;4398;NA;NA;NA;491;Normal Adaptive;;0;1;0;0
17;2;2;980;NA;NA;NA;NA;;;0;0;1;0
17;2;3;987423;NA;480;NA;NA;Heatmaps adaptive;;1;0;0;0
17;2;4;99982;NA;413;NA;NA;Heatmaps adaptive;;1;0;0;0
17;2;5;1123;NA;NA;NA;NA;;;0;0;1;0
18;1;1;4398;NA;295;NA;449;Heatmaps adaptive;;0;0;0;1
18;1;2;980;NA;282;NA;443;Heatmaps adaptive;;0;0;0;1
18;1;3;987423;NA;206;NA;466;Heatmaps adaptive;;0;0;0;1
18;1;4;99982;NA;249;NA;NA;Heatmaps adaptive;;1;0;0;0
18;1;5;1123;NA;292;NA;NA;Heatmaps adaptive;;1;0;0;0
19;0;1;4398;NA;431;NA;NA;Heatmaps adaptive;;1;0;0;0
19;0;2;980;NA;NA;NA;NA;;;0;0;1;0
19;0;3;987423;NA;448;NA;NA;Heatmaps adaptive;;1;0;0;0
19;0;4;99982;NA;NA;NA;NA;;;0;0;1;0
19;0;5;1123;NA;NA;NA;NA;;;0;0;1;0
20;9;1;4398;NA;249;NA;NA;Heatmaps adaptive;;1;0;0;0
20;9;2;980;384;304;NA;477;Heatmaps adaptive;;0;0;0;1
20;9;3;987423;NA;316;NA;NA;Heatmaps adaptive;;1;0;0;0
20;9;4;99982;373;399;NA;NA;Heatmaps;;1;0;0;0
20;9;5;1123;NA;244;NA;NA;Heatmaps adaptive;;1;0;0;0
21;8;1;4398;NA;NA;NA;NA;;;0;0;1;0
21;8;2;980;NA;402;NA;NA;Heatmaps adaptive;;1;0;0;0
21;8;3;987423;NA;354;NA;NA;Heatmaps adaptive;;1;0;0;0
21;8;4;99982;457;NA;NA;NA;Heatmaps;;0;0;1;0
21;8;5;1123;NA;448;NA;NA;Heatmaps adaptive;;1;0;0;0
22;7;1;4398;NA;454;NA;NA;Heatmaps adaptive;;1;0;0;0
22;7;2;980;NA;NA;NA;NA;;;0;0;1;0
22;7;3;987423;NA;NA;NA;NA;;;0;0;1;0
22;7;4;99982;NA;NA;NA;NA;;;0;0;1;0
22;7;5;1123;NA;NA;NA;NA;;;0;0;1;0
23;6;1;4398;NA;323;NA;NA;Heatmaps adaptive;;1;0;0;0
23;6;2;980;NA;262;NA;NA;Heatmaps adaptive;;1;0;0;0
23;6;3;987423;NA;251;NA;NA;Heatmaps adaptive;;1;0;0;0
23;6;4;99982;NA;277;NA;NA;Heatmaps adaptive;;1;0;0;0
23;6;5;1123;NA;291;NA;NA;Heatmaps adaptive;;1;0;0;0
24;5;1;4398;NA;NA;NA;NA;;;0;0;1;0
24;5;2;980;NA;NA;NA;NA;;;0;0;1;0
24;5;3;987423;NA;NA;NA;NA;;;0;0;1;0
24;5;4;99982;NA;433;NA;NA;Heatmaps adaptive;;1;0;0;0
24;5;5;1123;NA;NA;NA;NA;;;0;0;1;0
25;4;1;4398;NA;NA;NA;455;Normal Adaptive;;0;1;0;0
25;4;2;980;NA;377;NA;NA;Heatmaps adaptive;;1;0;0;0
25;4;3;987423;NA;NA;NA;311;Normal Adaptive;;0;1;0;0
25;4;4;99982;NA;290;NA;387;Heatmaps adaptive;;0;0;0;1
25;4;5;1123;NA;331;NA;497;Heatmaps adaptive;;0;0;0;1
26;3;1;4398;NA;NA;NA;NA;;;0;0;1;0
26;3;2;980;NA;NA;NA;NA;;;0;0;1;0
26;3;3;987423;NA;411;NA;NA;Heatmaps adaptive;;1;0;0;0
26;3;4;99982;NA;NA;NA;NA;;;0;0;1;0
26;3;5;1123;NA;428;NA;NA;Heatmaps adaptive;;1;0;0;0
27;2;1;4398;NA;NA;NA;NA;;;0;0;1;0
27;2;2;980;NA;NA;NA;NA;;;0;0;1;0
27;2;3;987423;NA;NA;NA;NA;;;0;0;1;0
27;2;4;99982;NA;472;NA;NA;Heatmaps adaptive;;1;0;0;0
27;2;5;1123;NA;465;NA;NA;Heatmaps adaptive;;1;0;0;0
28;1;1;4398;NA;NA;NA;NA;;;0;0;1;0
28;1;2;980;NA;NA;NA;NA;;;0;0;1;0
