population size,total iteration number,misbehaviour number,mutation type,stride extent
100,1000,72,attention-based,2

id,expected_label,predicted_label,misbehaviour,confidence,mutate_attempts
2,5,8,True,-0.6563046,1
82,5,6,True,-0.12548727,1
48,5,3,True,-0.14739823,24
95,5,8,True,-0.43310353,58
41,5,9,True,-0.0154182315,89
16,5,9,True,-0.01532191,178
45,5,3,True,-0.22644994,201
84,5,9,True,-0.028626591,202
9,5,3,True,-0.06454754,257
15,5,3,True,-0.00083357096,269
97,5,9,True,-0.054599375,290
10,5,1,True,-0.042919844,298
36,5,6,True,-0.62291586,308
34,5,9,True,-0.0054146647,316
88,5,3,True,-0.00083357096,316
44,5,8,True,-0.5095617,318
7,5,2,True,-0.30447996,324
90,5,7,True,-0.020677269,326
19,5,3,True,-0.13069811,335
30,5,1,True,-0.013700068,347
31,5,2,True,-0.024456114,356
14,5,6,True,-0.3887389,370
33,5,6,True,-0.45133355,376
70,5,6,True,-0.34516564,382
47,5,8,True,-0.645478,397
49,5,3,True,-0.08333373,403
24,5,2,True,-0.7563436,404
74,5,9,True,-0.073877424,408
98,5,8,True,-0.2938155,411
65,5,8,True,-0.19293183,418
0,5,3,True,-0.10917848,419
43,5,3,True,-0.085840076,428
26,5,3,True,-0.00083357096,431
79,5,1,True,-0.79567385,464
81,5,9,True,-0.17704222,466
58,5,3,True,-0.00083357096,477
64,5,4,True,-0.037469655,480
60,5,3,True,-0.95193464,499
83,5,2,True,-0.479436,517
12,5,4,True,-0.8220139,522
85,5,3,True,-0.00083357096,543
5,5,4,True,-0.2733972,569
17,5,8,True,-0.74977666,593
21,5,3,True,-0.34444058,594
72,5,3,True,-0.02352184,612
8,5,7,True,-0.08524841,618
69,5,9,True,-0.048612714,623
91,5,3,True,-0.00083357096,626
89,5,1,True,-0.802115,638
54,5,2,True,-0.7320889,640
38,5,2,True,-0.51409656,644
22,5,4,True,-0.115352154,647
57,5,3,True,-0.00083357096,649
80,5,8,True,-0.3557533,650
6,5,7,True,-0.10544796,654
87,5,3,True,-0.4281222,658
46,5,1,True,-0.05718977,659
68,5,2,True,-0.2721674,667
66,5,6,True,-0.043678164,687
71,5,7,True,-0.28866795,717
92,5,6,True,-0.0034554303,735
40,5,9,True,-0.20093668,749
56,5,4,True,-0.37362674,758
50,5,3,True,-0.00083357096,771
25,5,8,True,-0.98877746,783
61,5,3,True,-0.55642223,787
18,5,6,True,-0.24765983,798
75,5,9,True,-0.3301479,819
27,5,3,True,-0.07093999,895
35,5,3,True,-0.6137639,902
52,5,4,True,-0.34215894,905
13,5,3,True,-0.00083357096,942
1,5,5,False,1.0,
3,5,5,False,0.9966967,
4,5,5,False,0.9999354,
11,5,5,False,0.9836548,
20,5,5,False,0.9999957,
23,5,5,False,0.9999669,
28,5,5,False,0.9921727,
29,5,5,False,0.99999756,
32,5,5,False,1.0,
37,5,5,False,0.9997006,
39,5,5,False,0.57286,
42,5,5,False,0.9989052,
51,5,5,False,0.9999858,
53,5,5,False,0.98867005,
55,5,5,False,0.99999005,
59,5,5,False,0.9999878,
62,5,5,False,0.9998494,
63,5,5,False,0.9368285,
67,5,5,False,0.913075,
73,5,5,False,0.99996483,
76,5,5,False,0.9179417,
77,5,5,False,0.9999978,
78,5,5,False,0.99999785,
86,5,5,False,0.9999994,
93,5,5,False,0.9964536,
94,5,5,False,0.9999845,
96,5,5,False,0.98744494,
99,5,5,False,0.9999991,
